# bench paper row accel trials=3 ms=30 ids=1-12
# paper row accel f32 beta=0
 1    64  2112  7168    631  peak=1568 eff=0.402
 2    64 24576  1536    249  peak=1638 eff=0.152
 3    64 32768   512    219  peak=1544 eff=0.142
 4    64  7168 16384    326  peak=1640 eff=0.199
 5    64  4096  7168    244  peak=1638 eff=0.149
 6    64  7168  2048    388  peak=1636 eff=0.237
 7   128  2112  7168    806  peak=1584 eff=0.509
 8   128 24576  1536    422  peak=1640 eff=0.257
 9   128 32768   512    372  peak=1618 eff=0.230
10   128  7168 16384    466  peak=1637 eff=0.285
11   128  4096  7168    395  peak=1635 eff=0.241
12   128  7168  2048    564  peak=1626 eff=0.347
