# bench paper row accel trials=3 ms=30 ids=1-12
# paper row accel f32 beta=0
 1    64  2112  7168    643  peak=1635 eff=0.393
 2    64 24576  1536    254  peak=1639 eff=0.155
 3    64 32768   512    227  peak=1637 eff=0.139
 4    64  7168 16384    308  peak=1627 eff=0.189
 5    64  4096  7168    227  peak=1579 eff=0.144
 6    64  7168  2048    327  peak=1619 eff=0.202
 7   128  2112  7168    812  peak=1624 eff=0.500
 8   128 24576  1536    396  peak=1621 eff=0.244
 9   128 32768   512    343  peak=1623 eff=0.211
10   128  7168 16384    421  peak=1497 eff=0.281
11   128  4096  7168    377  peak=1587 eff=0.237
12   128  7168  2048    552  peak=1584 eff=0.349
