# bench paper row accel trials=5 ms=40 f64
# paper row accel f64 beta=0
 1    64  2112  7168    207  peak=382 eff=0.543
 2    64 24576  1536    110  peak=395 eff=0.279
 3    64 32768   512     93  peak=409 eff=0.228
 4    64  7168 16384    118  peak=408 eff=0.289
 5    64  4096  7168    101  peak=378 eff=0.268
 6    64  7168  2048    123  peak=379 eff=0.324
 7   128  2112  7168    258  peak=366 eff=0.706
 8   128 24576  1536    161  peak=395 eff=0.408
 9   128 32768   512    140  peak=396 eff=0.354
10   128  7168 16384    166  peak=348 eff=0.475
11   128  4096  7168    159  peak=382 eff=0.416
12   128  7168  2048    187  peak=382 eff=0.490
13  4096  2112  7168    283  peak=349 eff=0.812
14  4096 24576  1536    272  peak=380 eff=0.717
15  4096 32768   512    275  peak=348 eff=0.790
16  4096  7168 16384    282  peak=382 eff=0.738
17  4096  4096  7168    281  peak=349 eff=0.807
18  4096  7168  2048    286  peak=348 eff=0.823
19  4096   256  4096    231  peak=367 eff=0.629
20 11008   256  4096    249  peak=366 eff=0.680
21  4096   256 11008    275  peak=364 eff=0.755
22  5120   256  5120    249  peak=367 eff=0.679
23 13824   256  5120    259  peak=366 eff=0.706
24  5120   256 13824    266  peak=367 eff=0.727
