# 2026-09-22 22:09:42 load before: { 3.92 6.32 6.84 }
# all col accel f32 beta=1
 0   512   512   512   1710
 0  1000  1000  1000   1643
 0  1024  1024  1024   1499
 0  2048  2048  2048   1504
 0  3000  3000  3000   1448
 0  4096  4096  4096   1480
 1    64  2112  7168    852
 2    64 24576  1536    979
 3    64 32768   512    829
 4    64  7168 16384    831
 5    64  4096  7168    847
 6    64  7168  2048    961
 7   128  2112  7168   1162
 8   128 24576  1536   1203
 9   128 32768   512   1037
10   128  7168 16384   1084
11   128  4096  7168   1106
12   128  7168  2048   1171
13  4096  2112  7168   1428
14  4096 24576  1536   1465
15  4096 32768   512   1295
16  4096  7168 16384   1480
17  4096  4096  7168   1465
18  4096  7168  2048   1535
19  4096   256  4096   1141
20 11008   256  4096   1396
21  4096   256 11008   1097
22  5120   256  5120   1154
23 13824   256  5120   1310
24  5120   256 13824   1133
# load after: { 3.80 6.13 6.76 }
