# 2026-09-22 22:22:10 load before: { 3.41 3.42 4.66 }
# all row accel f32 beta=0
 0   512   512   512   1812
 0  1000  1000  1000   1850
 0  1024  1024  1024   1690
 0  2048  2048  2048   1639
 0  3000  3000  3000   1562
 0  4096  4096  4096   1540
 1    64  2112  7168   1144
 2    64 24576  1536    611
 3    64 32768   512    613
 4    64  7168 16384    627
 5    64  4096  7168    598
 6    64  7168  2048    650
 7   128  2112  7168   1390
 8   128 24576  1536    907
 9   128 32768   512    890
10   128  7168 16384    881
11   128  4096  7168    890
12   128  7168  2048    980
13  4096  2112  7168   1565
14  4096 24576  1536   1638
15  4096 32768   512   1526
16  4096  7168 16384   1508
17  4096  4096  7168   1505
18  4096  7168  2048   1647
19  4096   256  4096   1398
20 11008   256  4096   1403
21  4096   256 11008   1434
22  5120   256  5120   1401
23 13824   256  5120   1380
24  5120   256 13824   1403
# load after: { 3.01 3.32 4.60 }
