# 2026-09-22 23:15:07 load before: { 2.23 2.52 2.80 } VECLIB_MAXIMUM_THREADS=1
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-09-22T23:15:08-05:00
Running ./build/gbench
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.23, 2.52, 2.80
------------------------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations UserCounters...
gemm/mt_row/128/7168/2048/min_time:0.050/repeats:5_max              2.90 ms         2.89 ms            5 GFLOPS=1.33632k/s
gemm/mt_row/4096/7168/2048/min_time:0.050/repeats:5_mean            71.6 ms         71.5 ms            5 GFLOPS=1.68104k/s
gemm/mt_row/4096/7168/2048/min_time:0.050/repeats:5_median          71.5 ms         71.5 ms            5 GFLOPS=1.68145k/s
gemm/mt_row/4096/7168/2048/min_time:0.050/repeats:5_stddev         0.176 ms        0.162 ms            5 GFLOPS=3.7927/s
gemm/mt_row/4096/7168/2048/min_time:0.050/repeats:5_cv              0.25 %          0.23 %             5 GFLOPS=0.23%
gemm/mt_row/4096/7168/2048/min_time:0.050/repeats:5_max             71.8 ms         71.8 ms            5 GFLOPS=1.68522k/s
gemm/mt_row/4096/256/4096/min_time:0.050/repeats:5_mean             5.41 ms         5.41 ms            5 GFLOPS=1.58884k/s
gemm/mt_row/4096/256/4096/min_time:0.050/repeats:5_median           5.41 ms         5.41 ms            5 GFLOPS=1.58695k/s
gemm/mt_row/4096/256/4096/min_time:0.050/repeats:5_stddev          0.012 ms        0.013 ms            5 GFLOPS=3.68377/s
gemm/mt_row/4096/256/4096/min_time:0.050/repeats:5_cv               0.23 %          0.23 %             5 GFLOPS=0.23%
gemm/mt_row/4096/256/4096/min_time:0.050/repeats:5_max              5.42 ms         5.42 ms            5 GFLOPS=1.59427k/s
gemm/mt_row/5120/256/13824/min_time:0.050/repeats:5_mean            22.9 ms         22.9 ms            5 GFLOPS=1.58512k/s
gemm/mt_row/5120/256/13824/min_time:0.050/repeats:5_median          22.7 ms         22.7 ms            5 GFLOPS=1.59823k/s
gemm/mt_row/5120/256/13824/min_time:0.050/repeats:5_stddev         0.424 ms        0.412 ms            5 GFLOPS=28.0437/s
gemm/mt_row/5120/256/13824/min_time:0.050/repeats:5_cv              1.85 %          1.80 %             5 GFLOPS=1.77%
gemm/mt_row/5120/256/13824/min_time:0.050/repeats:5_max             23.6 ms         23.6 ms            5 GFLOPS=1.60802k/s
gemm/accel_col/4096/4096/4096/min_time:0.050/repeats:5_mean         92.0 ms         92.0 ms            5 GFLOPS=1.49358k/s
gemm/accel_col/4096/4096/4096/min_time:0.050/repeats:5_median       92.0 ms         92.0 ms            5 GFLOPS=1.49445k/s
gemm/accel_col/4096/4096/4096/min_time:0.050/repeats:5_stddev      0.410 ms        0.405 ms            5 GFLOPS=6.55918/s
gemm/accel_col/4096/4096/4096/min_time:0.050/repeats:5_cv           0.45 %          0.44 %             5 GFLOPS=0.44%
gemm/accel_col/4096/4096/4096/min_time:0.050/repeats:5_max          92.7 ms         92.6 ms            5 GFLOPS=1.50121k/s
gemm/accel_col/64/2112/7168/min_time:0.050/repeats:5_mean           2.12 ms         2.12 ms            5 GFLOPS=913.816/s
gemm/accel_col/64/2112/7168/min_time:0.050/repeats:5_median         2.12 ms         2.12 ms            5 GFLOPS=912.138/s
gemm/accel_col/64/2112/7168/min_time:0.050/repeats:5_stddev        0.006 ms        0.006 ms            5 GFLOPS=2.74904/s
gemm/accel_col/64/2112/7168/min_time:0.050/repeats:5_cv             0.30 %          0.30 %             5 GFLOPS=0.30%
gemm/accel_col/64/2112/7168/min_time:0.050/repeats:5_max            2.13 ms         2.13 ms            5 GFLOPS=916.846/s
gemm/accel_col/128/7168/2048/min_time:0.050/repeats:5_mean          3.10 ms         3.10 ms            5 GFLOPS=1.2121k/s
